"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"32",2.9033954025,0.66115083123,0.05319571992,2.97674794475,0.83647119239,0.39165846727,0.514409317615,0.40026806566,0.37908747433,2.966868923,0.41930675764,0.15182939203,0.505545474815,0.50925467339,0.020233209924,2.69977482625,0.308626716819,0.36252612915,0.504378740741,0.864913671545819,0.874025822187578,0.754906444864985,0.0789099309580301,0.082174119837777,0.142582649037234,0.082174119837777,0.238613863602717,0,116933.222211633,0.001685924171,65481090.2533626,1e-04,0,0.0391330718994141,101.697457790375,"3_180_11",3,180,11,1980,FALSE,TRUE,1,0.0865666808633851,4,FALSE
"33",2.762413123,0.69902465456,0.01832444127,2.92552345,0.91154872807,0.31557701719,0.5099147601925,0.310181573857,0.3983247445,2.59467949725,0.321492262841,0.34813023427,0.572489362875,0.52033393571,0.025468742217,2.61193574325,0.57762762965,0.31214465547,0.504999233156,0.867809117891795,0.850037878716344,0.773270016120381,0.0780596706723823,0.0896571815533124,0.13713717917714,0.0896571815533124,0.164931070090202,0,52366.3644417943,0.0006997873359,65481090.2533626,1e-04,0,0.0391860008239746,102.152778863907,"3_181_9",3,181,9,1989,TRUE,TRUE,1,0.062933873727864,3,FALSE
"34",2.7140380115,0.68049489233,0.03375171618,2.99007923775,0.8294416036,0.34585831099,0.5093785112125,0.3009574071934,0.38564930641,2.69721680825,0.350524298979,0.32908354099,0.548178936225,0.52630853252,0.029839498656,2.6374138045,0.43030147249,0.33600180052,0.504424046318,0.8658190321119,0.861732447898041,0.764087739947914,0.0786450557261951,0.08609034175773,0.139886559571889,0.08609034175773,0.192368951994592,0,89518.9280969711,0.001267222593,65481090.2533626,1e-04,0,0.0548410415649414,102.27112698555,"3_181_11",3,181,11,1991,FALSE,TRUE,3,0.0713725635835766,3,FALSE
"35",2.758230946,0.69366551238,0.025172645214,2.9002520745,0.96163549354,0.34943549845,0.506556540925,0.41139956324,0.39729124657,2.85928023075,0.38658846679,0.125868607252,0.5547593302,0.45377752768,0.04665273642,2.61978070875,0.55254276201,0.346917556745,0.54049526,0.868759216637273,0.783334046931932,0.81383833446016,0.0761239621748278,0.0986282044564416,0.123329160818655,0.0986282044564416,0.172922317981296,0,65566.4876444824,0.0009013942929,65481090.2533626,1e-04,0,0.0700459480285645,102.413096904755,"3_182_1",3,182,1,1992,FALSE,TRUE,8,0.0591022706603028,4,FALSE
"36",2.98911679875,0.68045473634,0.04104369519,2.8940802975,0.92322030323,0.27227880445,0.5072418806725,0.51670154933,0.39531696484,2.95882853675,0.43950599397,0.22226869093,0.61150901145,0.5397415951,0.008522596644,2.68865559625,0.347843011608,0.33105499008,0.504912870542,0.868594582243122,0.868790634410119,0.763566442824928,0.0778274139607433,0.0838642201059806,0.140041028485777,0.0838642201059806,0.206957068113207,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,0,0.0422320365905762,102.460253953934,"3_182_2",3,182,2,1993,FALSE,TRUE,4,0.0756891804194167,4,FALSE
"37",2.89733646775,0.69952152821,0.028654037736,2.949849067,0.94646699754,0.20183316289,0.515339306645,0.40557864058,0.39698476948,2.80889588725,0.36599863137,0.16215484279,0.528059325525,0.47554537763,0.001881479898,2.680382218,0.49903975385,0.332758020045,0.528390454787,0.868662998988531,0.770940222095613,0.821891526742864,0.076820544190505,0.102326942864005,0.12220793928855,0.102326942864005,0.153486801019716,0,78291.4017993231,0.001095743329,65481090.2533626,1e-04,0,0.039186954498291,102.593077898026,"3_182_5",3,182,5,1996,FALSE,TRUE,8,0.0534209497596895,4,FALSE
"38",2.55462488,0.86736424612,0.24278388552,1.311152614,0.69917732701,0.2169339637,0.57548883805,0.309141066557,0.37492489162,0.713677847125,0.8229769524,0.23511269977,1.29178957075,0.4437192547,0.03192006177,2.8763565375,0.40075321767,0.6341292289,0.62909582219,0.885905503275643,0.645206861377247,0.956594371069208,0.0760954080391282,0.146733294413691,0.0559359104697017,0.146733294413691,0.13766663089677,0,9859.26039152249,5.057158489e-05,65481090.2533626,1e-04,0,0.0402419567108154,68.1380169391632,"4_88_8",4,88,8,965,FALSE,TRUE,8,0.0260333873332233,1,TRUE
"39",2.659091941,0.74627072819,0.28804126473,2.24893946675,0.55246965205,0.26850601507,0.5103246687125,0.315952515383,0.36724849711,1.6211317485,0.9075359822,0.28753267969,0.909774616,0.358996756119,0.04370400243,2.89753937325,0.64230858536,0.61049527595,0.6246200708,0.882170004315848,0.667321867607048,0.964637678002748,0.0757881131997725,0.147124663465561,0.0519982371320676,0.147124663465561,0.12542445734692,0,10613.9235948415,6.209764034e-05,65481090.2533626,1e-04,0,0.0651609897613525,89.379467010498,"4_110_4",4,110,4,1203,FALSE,TRUE,6,0.0205649294076498,2,TRUE
"40",2.6625878975,0.70201805378,0.29547551175,1.68661993025,0.59967916601,0.26850601507,0.5103246687125,0.315952515383,0.36724849711,1.6211317485,0.9075359822,0.28753267969,0.909774616,0.358996756119,0.04370400243,2.89753937325,0.64230858536,0.61049527595,0.63255214694,0.886375464305149,0.634291140135707,0.964229885335924,0.0759385258948648,0.148393558646548,0.052331312734637,0.148393558646548,0.134708739713069,0,7810.48065237331,1.928034295e-05,65481090.2533626,1e-04,0,0.103468894958496,91.8431370258331,"4_113_1",4,113,1,1233,TRUE,TRUE,8,0.0244212984816206,2,FALSE
"41",2.9798113215,0.91243522291,0.09627296256,0.7013812943,0.40577169218,0.3688059838,0.544792249075,0.307070229348,0.38486606422,1.592617298,0.88567403846,0.13516928923,0.630130113475,0.49565404068,2.9279480571e-05,2.9841121135,0.90056277505,0.344242649085,0.507814193666,0.859831875233617,0.729575576529219,0.834214097378314,0.0802332366635011,0.11820797956014,0.118019170100221,0.11820797956014,0.0871751536895354,0,88921.2079244319,0.001258093546,65481090.2533626,1e-04,0,0.0583000183105469,102.281780004501,"4_124_9",4,124,9,1362,FALSE,TRUE,2,0.0407130939465824,1,FALSE
"42",2.97041317525,0.88606200303,0.03688283913,1.17448306825,0.79954634317,0.3931571896,0.5819906039,0.346268054077,0.36568591558,1.6340966665,0.86209343876,0.30677774695,0.652857238275,0.47899848407,0.013567877406,2.933636493,0.82371994458,0.34723018135,0.515438187614,0.861729511351722,0.734805913264752,0.83379587220128,0.0794173155371638,0.115129753834172,0.11850408939493,0.115129753834172,0.122061284816808,0,81578.7994016689,0.00114595212,65481090.2533626,1e-04,0,0.0426499843597412,116.131022930145,"4_144_4",4,144,4,1577,FALSE,TRUE,3,0.0448881803978147,1,FALSE
"43",2.9052672385,0.84299372204,0.021061604172,1.7434177205,0.71551777603,0.1478488999,0.552181466125,0.312093850244,0.36417389326,1.692651747,0.77889457434,0.38771877202,0.593351941925,0.53652049015,0.006974309271,2.89502565225,0.94186715075,0.3985697493,0.505368675035,0.853423345082253,0.824568957127569,0.772112692940646,0.0821974543188603,0.0969722600253499,0.137486735984586,0.0969722600253499,0.147710518096306,0,126241.631995958,0.001828092554,65481090.2533626,1e-04,0,0.0441920757293701,117.568403959274,"4_145_9",4,145,9,1593,FALSE,TRUE,5,0.0591875548643803,1,FALSE
"44",2.395861222,0.89622471657,0.20256492228,1.17448306825,0.79954634317,0.3931571896,0.5819906039,0.346268054077,0.36568591558,1.6340966665,0.86209343876,0.30677774695,0.652857238275,0.47899848407,0.01642241544,2.95190492,0.67894331818,0.32729426148,0.506079300128,0.863454719692309,0.828420385115232,0.770464455510421,0.0793349059162276,0.095901884032505,0.137983039423507,0.095901884032505,0.196047237323915,0,71102.4849772634,0.0009859461989,65481090.2533626,1e-04,0,0.0499939918518066,118.550431013107,"4_147_1",4,147,1,1607,FALSE,TRUE,6,0.0716571159813757,1,FALSE
"45",2.9052672385,0.84299372204,0.021061604172,1.2075526095,0.52729428113,0.107225814709,0.501428859945,0.312093850244,0.36417389326,1.692651747,0.77889457434,0.38771877202,0.593351941925,0.53652049015,0.006974309271,2.89502565225,0.94186715075,0.3985697493,0.505368675035,0.853472991763185,0.818895458749028,0.772372624644543,0.0821835326735571,0.0985278407000777,0.13740830388933,0.0985278407000777,0.140920079267194,0,126241.631995958,0.001828092554,65481090.2533626,1e-04,0,0.0429329872131348,119.627240896225,"4_148_6",4,148,6,1623,FALSE,TRUE,5,0.0577841775672269,1,FALSE
"46",2.395861222,0.89622471657,0.20256492228,1.17448306825,0.79954634317,0.3931571896,0.5819906039,0.346268054077,0.36568591558,1.6340966665,0.86209343876,0.30677774695,0.652857238275,0.47899848407,0.01642241544,2.95190492,0.67894331818,0.32729426148,0.506079300128,0.863454719692309,0.828420385115232,0.770464455510421,0.0793349059162276,0.095901884032505,0.137983039423507,0.095901884032505,0.196047237323915,0,71102.4849772634,0.0009859461989,65481090.2533626,1e-04,0,0.0515749454498291,120.658411026001,"4_149_9",4,149,9,1637,FALSE,TRUE,6,0.0716571159813757,NA,NA
