"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","3_143_11",0,0.21556030667751,0.0868797347091656,0.139819777738867,0.0778632441777076,0.0868797347091656,0.0605938836005974,0.639615975170115,0.751567951612376,0.0465352087259203,0.102768260875739,0.0861622659195706,0.826789585503098,0.973966363483274,0.127411591617367,0.109420136860729,0.0578803768744321,0.19996288155835,0.0761642606571279,0.641904774537791,0.169818008070888,0.0599760991926231,0.326548111889028,0.0684636659667663,4,21,FALSE
"2","3_152_9",0,0.137156247669865,0.148345733472957,0.053375037465019,0.0748866316041972,0.148345733472957,0.104191655522481,0.444645431307064,0.655192893310321,0.908136373551656,1,0.248561034619126,0.868380785384054,0.990479724876824,0.254738872394168,0.752323248865508,0.0176540941280204,0.70843888927509,0.118711338286183,0.776625750779729,0.357351270829804,0.109723398605835,0.0684912129550647,0.335700601250293,3,16,FALSE
"3","3_155_3",0,0.193671999895467,0.0845453685144521,0.140456184586275,0.0787436622253884,0.0845453685144521,0.0804737390431883,0.841445320648932,0.632712274140677,0.36723046619343,0.509549505508249,0.0800129715506966,0.880311749192628,0.962782877906624,0.0753845127664804,0.674749492796468,0.0303817268118355,0.244442300170891,0.0862118566625193,0.943241520483933,0.00144621238894379,0.0230749658443364,0.441831999221909,0.202793732174486,3,16,FALSE
"4","3_157_1",0,0.115234685507182,0.148041450156686,0.0524273702829654,0.0746814041901437,0.148041450156686,0.115325177238398,0.585136031163526,0.817494896443626,0.311210893403781,0.302597349859506,0.243007456667509,0.812236232283585,0.994847618243795,0.0743417805999599,0.780511523952331,0.102868324351474,0.520799665267437,0.146934841355245,0.516838245380735,0.575717248943691,0,0.133239516916056,0.400979727071287,4,21,TRUE
"5","3_157_11",0,0.193071640432667,0.0846663189945103,0.139830722226957,0.0786190951091063,0.0846663189945103,0.0804737390431883,0.928587176373438,0.915543179431439,0.151409739562236,0.509549505508249,0.0800129715506966,0.880311749192628,0.962625113169952,0.0905212107839537,0.90393688228795,0.0303817268118355,0.244442300170891,0.0862118566625193,0.682375308126547,0.451695839717856,0.090534241609731,0.441831999221909,0.202793732174486,4,21,FALSE
"6","3_160_4",0,0.202553733359307,0.0852515887631864,0.139885532571365,0.0777699605563447,0.0852515887631864,0.0600352361970061,0.847365788706844,0.882740104773055,0.0454483168909724,0.102768260875739,0.0861622659195706,0.994812326994964,0.952543037706706,0.197998194272935,0.978879159478594,0.0578803768744321,0.19996288155835,0.129230781049283,0.549288589694306,0.724514468335512,0.134198845427331,0.326548111889028,0.0684636659667663,4,21,FALSE
"7","3_160_8",0,0.203438026261268,0.0858845043245989,0.139606441981951,0.0786013953082697,0.0858845043245989,0.0804737390431883,0.835300329938063,0.579290606735488,0.151409739562236,0.509549505508249,0.0800129715506966,0.880311749192628,0.962625113169952,0.0316733570634535,0.876409447545414,0.0303817268118355,0.244442300170891,0.0862118566625193,0.553687701643044,0.539330225628687,0.12370909236867,0.441831999221909,0.202793732174486,4,21,FALSE
"8","3_162_11",0,0.173870763897202,0.0985303638888603,0.12346053675717,0.0761048754069771,0.0985303638888603,0.069101849637567,0.829499398800374,0.95363795673054,0.0858668942106898,0.395173324991845,0.133991510774831,0.812006042868377,0.966986664162183,0.0776704663490387,0.945077433059838,0.021642514920737,0.0204471443278942,0.135999638717474,1,0.511912652426376,0.104904336468451,0.322495092666009,0.36160309798863,4,21,FALSE
"9","3_163_1",0,0.210852398556789,0.0860700292363811,0.138843519616639,0.0785162622416298,0.0860700292363811,0.0572353329737262,0.913396773706942,0.906627151746429,0.188641163626958,0.593376606095334,0.0727237815780547,0.994812326994964,0.963696101306964,0.0985379786502269,0.886913955246558,0.0998509092624262,0.188454205283071,0.143200797354572,0.655986640644649,0.669622357093383,0.0880765717211955,0.342177977094679,0.252735912078431,4,21,FALSE
"10","3_165_8",0,0.170845831788405,0.0986289158068256,0.123271652258084,0.0761224601338677,0.0986289158068256,0.0781993611600179,0.839056136237651,0.95363795673054,0.0858668942106898,0.395173324991845,0.133991510774831,0.866650607872269,0.96362363521848,0.0776704663490387,0.945077433059838,0.021642514920737,0.0204471443278942,0.0961694131977344,0.954593216364426,0.511912652426376,0.104904336468451,0.322495092666009,0.36160309798863,4,21,FALSE
"11","3_165_9",0,0.207539103563129,0.082730214449709,0.140268869320157,0.077735164630908,0.082730214449709,0.121864550686488,0.824147168144866,0.882740104773055,0.0454483168909724,0.102768260875739,0.0861622659195706,0.994812326994964,0.957679059604562,0.197998194272935,0.978879159478594,0.0578803768744321,0.19996288155835,0.0518713564055389,0.916395500661099,0.724514468335512,0.134198845427331,0.326548111889028,0.0684636659667663,4,21,FALSE
"12","3_167_3",0,0.130780430919321,0.142723625615317,0.051754006104915,0.0759054398478101,0.142723625615317,0.102116548884204,0.985421734497109,0.91635260440615,0.700659172232901,0.606380438716792,0.300607270566895,0.831459877800904,0.986226633281284,0.219878099792741,0.888526497771661,0.0361576947605564,0.672180033583964,0.159048624856152,0.948681306703274,0.165507677297637,0.0490145354693218,0.224855822157715,0.188856041741938,3,16,FALSE
"13","3_168_6",0,0.20651028881537,0.0832515531097072,0.140084460237537,0.0777659473792787,0.0832515531097072,0.174159928781942,0.824147168144866,0.882740104773055,0.0454483168909724,0.102768260875739,0.0861622659195706,0.994812326994964,0.974905338563118,0.197998194272935,0.978879159478594,0.0578803768744321,0.19996288155835,0.0779925742443466,0.795654756786085,0.724514468335512,0.134198845427331,0.326548111889028,0.0684636659667663,4,21,FALSE
"14","3_168_7",0,0.131430928636552,0.146714743384169,0.0514414598883958,0.0735789203595378,0.146714743384169,0.0255417269386092,0.895502124362604,0.78653310523525,0.434127296064513,0.719510547422474,0.0248281091536069,0.879391418948733,0.981866494484134,0.0712708279618081,0.94491733123583,0.126647090959338,0.171614741513679,0.136740489179148,0.667764175139298,0.155784927176933,0.0825535758269717,0.0469119734252969,0.228739042687935,3,16,FALSE
"15","3_171_3",0,0.20732870794808,0.0828202229096576,0.14023090789281,0.077741354559396,0.0828202229096576,0.132323626264656,0.824147168144866,0.882740104773055,0.0454483168909724,0.102768260875739,0.0861622659195706,0.994812326994964,0.961124315376025,0.197998194272935,0.978879159478594,0.0578803768744321,0.19996288155835,0.0570955999318924,0.892247351863375,0.724514468335512,0.134198845427331,0.326548111889028,0.0684636659667663,4,21,FALSE
"16","3_171_4",0,0.119448722477668,0.151167193218876,0.0513826706448861,0.0731433493670646,0.151167193218876,0.0936639170626786,0.510015247972849,0.946671826353833,0.434127296064513,0.719510547422474,0.170675279473831,0.797010008516257,0.999920679364225,0.0773743558259001,0.983390528790071,0.126647090959338,0.171614741513679,0.173073769446528,0.585410315214708,0.898465488364776,0.0853043955651827,0.0469119734252969,0.228739042687935,4,21,FALSE
"17","3_171_7",0,0.189866618198254,0.0846503375217739,0.139847134966976,0.0786387495224096,0.0846503375217739,0.0804737390431883,0.893087776756232,0.875768095362293,0.241444682197483,0.509549505508249,0.0800129715506966,0.880311749192628,0.962625113169952,0.0761448466743084,0.925090196705989,0.0303817268118355,0.244442300170891,0.0862118566625193,0.716579048346401,0.271947545725028,0.0899958867660439,0.441831999221909,0.202793732174486,3,16,FALSE
"18","3_172_3",0,0.140958188604469,0.110010103024804,0.120580742416059,0.0770626375826702,0.110010103024804,0.0758430264010443,0.798972471343883,0.982283254222264,0.628906915224433,0.408820090830903,0.0441425869333053,0.844490172817182,0.972369485297697,0.0974468943758172,0.874139668066042,0.00467785274700998,0.0537323107843942,0.121434104717127,0.997341357937807,0.0626591593853833,0.0409196184114236,0.318489565989391,0.318383239833812,3,16,FALSE
"19","3_174_3",0,0.13411013887493,0.149172398709767,0.04862462201271,0.0742585223901899,0.149172398709767,0.0931113823704316,0.527868220307656,0.692415052950023,0.320683161287435,0.28931621439335,0.193910143522191,0.800139504669216,0.997079787203028,0.145501929021178,0.739645975608084,0.0407397174810999,0.335135619327389,0.171303481470479,0.630412212319043,0.873838799605663,0.0344983940642406,0.368968950366042,0.45824635671195,4,21,FALSE
