"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"32","ooh_S",324675.304732455,18460993.7314415,0.0641685711428115,117585.947334022,0.0645539799125468,18460993.7314415,0.0641685711428115,117585.947334022,0.0645539799125468,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,8239693.86666667,52482.1265392781,85258.7784216986,32776.6518824205,138397.093937472,0.655151359349006,0.494684421343587,2.63703289221511,2.2404950997178,0.446329920617079,3,FALSE,2.20022063287487,0.0223688744197117,2.00985457041405,2.39127958814667,0.736954964135449
"33","print_S",43636.441158942,1393963.54298533,0.00484527810798166,8878.74868143524,0.00487437977942867,1393963.54298533,0.00484527810798166,8878.74868143524,0.00487437977942867,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,601634.977777778,3832.06992215145,4880.6226087931,1048.55268664165,8376.26593039732,0.0478369682055284,0.0373529214443817,2.18583327041554,2.31695894433221,0.431600224270792,3,FALSE,2.79828504943431,0.3867581314462,0,6.08765726478179,0.112947948187308
"34","facebook_S",386239.889034053,4224021.07844148,0.0146822755602303,26904.5928563152,0.0147704601287785,4224021.07844148,0.0146822755602303,26904.5928563152,0.0147704601287785,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,334078.021992166,2127.88549039596,2185.19300617165,57.3075157756856,6182.53885291339,0.0265630827769259,0.113187700149269,2.90548475508563,12.6438161159268,0.079090046140449,3,FALSE,11.6381693713839,0.252575729506616,9.48507985399002,13.7918992450005,6.84043368427206e-05
"35","search_S",82639.7205871879,4617817.27991232,0.0160510718415926,29412.848916639,0.016147477663652,4617817.27991232,0.0160510718415926,29412.848916639,0.016147477663652,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,809960,5158.98089171975,5382.78146813591,223.800576416159,34021.1739352249,0.0644012269879381,0.123739940667077,6.59455319747926,5.70129053275757,0.175398884560322,3,FALSE,2.47048158969685,0.540351164811127,0,7.08265678757496,0.252459028253786
"36","newsletter",536035.85154585,4694603.13717693,0.0163179718154686,29901.9308100441,0.016415980690062,4694603.13717693,0.0163179718154686,29901.9308100441,0.016415980690062,TRUE,0.503286521117,0.865482344444058,0.866650603867777,0.762162535281256,0.0787436622253884,0.0845453685144521,0.140456184586275,0.0845453685144521,0.193671999895467,0,89968.1742692712,0.00127408398,65481090.2533626,1e-04,"3_155_3",3,155,3,1697,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,0.0619540572391714
"37","(Intercept)",121771.300979642,19118094.2538038,0.0670387244188912,121771.300979642,0.067493353425539,19118094.2538038,0.0670387244188912,121771.300979642,0.067493353425539,TRUE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"38","trend",0.317159693955627,91142459.7318027,0.319596407450733,580525.221221673,0.321763778600871,91142459.7318027,0.319596407450733,580525.221221673,0.321763778600871,TRUE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"39","season",0.367371690918867,173323.67193773,0.000607769672230376,1103.97243272439,0.000611891315724519,173323.67193773,0.000607769672230376,1103.97243272439,0.000611891315724519,TRUE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"40","holiday",0.61050248026096,-747978.688447241,-0.0026228313607169,-16999.5156465282,-0.00942220628640507,-747978.688447241,-0.0026228313607169,-16999.5156465282,-0.00942220628640507,FALSE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"41","competitor_sales_B",0.167181214138984,145654447.59294,0.510745906100244,927735.334986877,0.514209574389767,145654447.59294,0.510745906100244,927735.334986877,0.514209574389767,TRUE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"42","events",0,0,0,0,0,0,0,0,0,TRUE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"43","tv_S",398896.96761424,5550458.6696148,0.0194630104973312,35353.2399338522,0.0195950006150651,5550458.6696148,0.0194630104973312,35353.2399338522,0.0195950006150651,TRUE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,2591412.14666667,16505.80985138,26493.1721315904,9987.36228021031,11530.9514556853,0.206047362680601,0.186010341623402,0.698599557338363,2.14186642474234,0.46688252285401,4,TRUE,3.44766022717695,0.14809057659473,2.03774866057562,4.86896959600908,0.146158441534446
"44","ooh_S",350490.323234936,18055391.4958998,0.0633122945571832,115002.493604457,0.0637416524519318,18055391.4958998,0.0633122945571832,115002.493604457,0.0637416524519318,TRUE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,8239693.86666667,52482.1265392781,86567.4515497719,34085.3250104938,135103.09557952,0.655151359349006,0.605083244504128,2.57426869847599,2.19126969861613,0.456356422320602,4,TRUE,2.16466193869954,0.0188610744046551,1.98544864818472,2.34603788989835,0.731199648147573
"45","print_S",80452.3217530715,2587138.44585743,0.00907195345952679,16478.5888271174,0.0091334757099188,2587138.44585743,0.00907195345952679,16478.5888271174,0.0091334757099188,TRUE,0.65180474606,0.893577763187388,0.604978189252799,0.959095931662492,0.0746814041901437,0.148041450156686,0.0524273702829654,0.148041450156686,0.115234685507182,0,45411.6619406142,0.0005935673873,65481090.2533626,1e-04,"3_157_1",3,157,1,1717,6,601634.977777778,3832.06992215145,4779.98759927779,947.917677126334,14424.8071195773,0.0478369682055284,0.0867017547172143,3.76423379860426,4.30017957967369,0.232548427681219,4,TRUE,3.01040963974991,0.123093382268002,1.83779386908242,4.19111417415634,0.0844380712792008
