"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","iterPar","iterNG","df.int","trial","iterations","solID","coef0","mape.qt10","robynPareto","error_score"
"170",1.57574226358633,0.352265517524238,0.242193749502631,1.81290695673727,0.758073442614705,0.383109990337895,0.602640769463036,0.916453802614046,0.373345808236102,2.96864386560742,0.33269342898044,0.127733492270743,2.11935213380653,0.993259781057733,0.262939593985687,1.23508529298238,0.368633555081366,0.308097493863849,0.944931440200855,0.0535882510627196,0.169663608398468,0,51921.6313462292,0.000692994877625382,65481090.2533626,1e-04,0,0.171746969223022,54.5280220508575,4,180,1,5,1794,"5_180_4",FALSE,TRUE,1,12.2174235081974
"171",0.831244590353458,0.582445115253389,0.12696573632389,0.627568022772854,0.781103416831683,0.332852129337425,0.525593589852527,0.594919195963178,0.323544044524044,2.49397113032856,0.620600739872476,0.142338584680163,1.42413360518161,0.991413185552207,0.0370948662946845,1.84138456041639,0.339624780122537,0.330241316367441,0.944853612392672,0.0536261055444258,0.178313612513664,0,28703.6095231032,0.000338383435334692,65481090.2533626,1e-04,0,0.140779972076416,50.6913731098175,10,167,1,5,1670,"5_167_10",FALSE,TRUE,3,11.4960104927287
"172",1.39898616805673,0.517483101065286,0.278982377759277,2.55316548160756,0.41640386499096,0.374545585260662,0.54164067806168,0.950380959096954,0.356386361976856,2.8313251129371,0.3297605218464,0.15774160077066,1.70252753003952,0.925089485192635,0.0764410460596214,1.60611619213521,0.354458351831242,0.311945740214709,0.944405044123302,0.053843764866608,0.17050395409988,0,49826.789362088,0.000661000121869426,65481090.2533626,1e-04,0,0.151178121566772,39.7943801879883,4,132,1,5,1314,"5_132_4",FALSE,TRUE,2,12.1397884038367
"173",1.9184273756217,0.397611405599667,0.295515898811007,1.05027679200392,0.472687947160881,0.38160058759878,0.534059375905127,0.820274283701574,0.356386361976856,2.83132511293711,0.3297605218464,0.15774160077066,1.70252753003952,0.925089485192635,0.0764410460596214,1.60611619213521,0.354458351831242,0.311945740214709,0.944283381041107,0.0539026480718269,0.159102311409538,0,49826.789362088,0.000661000121869426,65481090.2533626,1e-04,0,0.166244029998779,32.2679872512817,4,108,1,5,1074,"5_108_4",FALSE,TRUE,1,13.2243846142322
"174",0.710738862300601,0.488072495741276,0.0435783083034612,1.5699113419338,0.362205986124092,0.365211866583902,0.556035206943117,0.886076680816994,0.359754260230397,2.8189595494148,0.524170105310722,0.142593602663316,1.68513880938204,0.816639348027085,0.111568758231221,1.50022945930953,0.306687040623202,0.320719892082609,0.943495553104678,0.0542823996471087,0.148579800891781,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,0,0.140450954437256,49.8821821212769,7,165,1,5,1647,"5_165_7",FALSE,TRUE,3,14.4030147212555
"175",1.22730514152376,0.320692425343092,0.287106884777454,1.55779334123063,0.35135858100495,0.364875103253231,0.572903974025503,0.93139957839382,0.350103874316125,2.44608035848603,0.457674148697464,0.122851257041862,1.66947818977574,0.410968655442565,0.108990827829215,1.66943277512582,0.374284091388385,0.354999399346717,0.94198248099529,0.0547046297721432,0.128839374086937,0,143514.538978598,0.00209190359287007,65481090.2533626,1e-04,0,0.135648012161255,46.5852382183075,9,154,0,5,1539,"5_154_9",FALSE,TRUE,2,17.2945876083082
"176",0.587635231900632,0.433871105668251,0.272907759034002,1.45211621951496,0.723432354468162,0.288581959399136,0.551763530111085,0.76673783356531,0.370170090653409,2.94711752487505,0.396282052215456,0.154115768685767,2.8044352802633,0.810143170777544,0.296318662012941,1.31158136660944,0.381543554378102,0.350364197393992,0.942424903960672,0.0547942591798517,0.13103296286676,0,63817.1568729181,0.000874676568510147,65481090.2533626,1e-04,0,0.17643404006958,60.7644400596619,5,200,1,5,1995,"5_200_5",FALSE,TRUE,3,16.9105376123925
"177",0.587635231900632,0.433871105668251,0.272907759034002,1.45211621951496,0.723432354468162,0.288581959399136,0.517447694294279,0.99687020559126,0.375779289541215,2.7247462348371,0.411385942936902,0.169667770275885,2.92927299740017,0.938837671190265,0.192844561538374,1.31158136660944,0.381543554378102,0.350364197393992,0.942415791766962,0.0547985950488676,0.129658752376037,0,63817.1568729181,0.000874676568510147,65481090.2533626,1e-04,0,0.212012052536011,58.8263201713562,5,194,1,5,1935,"5_194_5",FALSE,TRUE,3,17.1456251623707
"178",0.587635231900632,0.433871105668251,0.272907759034002,1.45211621951496,0.723432354468162,0.288581959399136,0.517447694294279,0.99687020559126,0.375779289541215,2.7247462348371,0.411385942936902,0.206813163756408,2.59093986832395,0.978722281620391,0.202391985932187,1.31158136660944,0.381543554378102,0.350364197393992,0.942210325305828,0.0548962715478408,0.128586744521303,0,63817.156872923,0.00087467656851022,65481090.2533626,1e-04,0,0.12057089805603,56.9465720653534,5,188,1,5,1875,"5_188_5",FALSE,TRUE,2,17.3278332787145
"179",0.673864683785444,0.489678873321858,0.202804549607303,1.15257557056777,0.460844606218712,0.357509105314877,0.51482206109652,0.832862199145619,0.339357999026104,2.87634502039709,0.616359283604167,0.124767854323856,2.56669110712635,0.734350583863235,0.235601639670523,1.25967681585586,0.451472228395651,0.315827279787641,0.941795624229512,0.0550928883940687,0.113133093733961,0,53478.9764196892,0.000716780382990612,65481090.2533626,1e-04,0,0.13798999786377,56.6530480384827,3,187,1,5,1863,"5_187_3",FALSE,TRUE,1,20.5555478049987
"180",1.13170510165208,0.413268388323849,0.293936682935542,0.929864508569327,0.4624807045517,0.340020248207107,0.538196484544991,0.91297872190859,0.394711471781481,2.54004886961488,0.655978693956375,0.153268066435492,1.57915100350857,0.3240380120937,0.251281172695449,1.22105467918757,0.486163665859612,0.348614936597056,0.937130236899286,0.0569462877827951,0.0880559741458881,0,228720.133566624,0.0033932581621039,65481090.2533626,1e-04,0,0.176189184188843,58.7873232364655,1,194,0,5,1931,"5_194_1",FALSE,TRUE,3,28.7341543003561
