"","solID","mape","decomp.rssd","nrmse","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"1","1_112_3",0,0.0846408614154596,0.0569671748038093,0.701333765739119,0.649927373035453,0.696922272115636,0.615152072819003,0.842558166834473,"3",TRUE
"2","1_138_9",0,0.206872915224697,0.0530701006259898,0.213717013638086,0.438820161113293,0.618713872056427,0.0470072617233072,0.360692941449692,"2",TRUE
"3","1_140_1",0,0.106021989892102,0.0556531244740298,0.551785557423883,0.471435772737856,0.667389962454621,0.453842852072703,0.660753333378744,"1",TRUE
"4","1_141_3",0,0.149685177488795,0.0542656999438883,0.209927550965375,0.235561911465034,0.558667712921679,0.22534145271312,0.553863693108384,"2",FALSE
"5","1_141_9",0,0.205717274489699,0.0531952064052766,0.130842931688948,0.406535678848164,0.555546024065704,0.0530605287258645,0.338617916631388,"2",FALSE
"6","1_142_7",0,0.0953876626045415,0.0558006192659829,0.724809711847355,0.716120136357515,0.727590101858409,0.53811593030091,0.868943000578602,"3",FALSE
"7","1_144_7",0,0.143575281653522,0.0544473390795673,0.498490269275973,0.571624960968112,0.882274557896831,0.293364805616453,0.613175178091956,"1",FALSE
"8","1_144_9",0,0.213532828690967,0.0530458394258487,0.207548321015772,0.277530671830345,0.615210891780337,0.0344958963821978,0.354054265052511,"2",FALSE
"9","1_146_1",0,0.0350464215373871,0.0655781078182073,0.740589097850099,0.892012712802936,0.304181951769316,0.869945074479648,0.908212446974464,"3",FALSE
"10","1_147_10",0,0.0858271486163819,0.0569203029608036,0.632127901458861,0.84905041500995,0.75198233222354,0.579257266245101,0.843102152640356,"3",FALSE
"11","1_147_3",0,0.151475941144144,0.0542592225543404,0.208742206146215,0.207221703859058,0.557912135232679,0.226826985044466,0.56198882767236,"2",FALSE
"12","1_147_4",0,0.161051285635414,0.0538020013508092,0.550324985171003,0.294783861748636,0.670550144981069,0.256963896296006,0.502139120602395,"1",FALSE
"13","1_148_3",0,0.0889661554311941,0.056674251689491,0.746640984415954,0.690123319122361,0.73130441967978,0.556691024154268,0.70998854012278,"3",FALSE
"14","1_152_5",0,0.220649593373324,0.0528371529706663,0.61281373171076,0.517902956795029,0.946403448962652,0.0843959367543811,0.262711121861631,"2",FALSE
"15","1_157_1",0,0.114416503336963,0.0550038744775816,0.373707025635099,0.442923583396572,0.628871539591771,0.431800524993358,0.803798713252305,"1",FALSE
"16","1_157_7",0,0.102570876343899,0.0557553286945096,0.735206407789434,0.688997367464492,0.734840791745147,0.494262431953221,0.833579483488976,"3",FALSE
"17","1_158_2",0,0.124896666396485,0.0543650624943185,0.623891199916078,0.460114619256241,0.682677444330412,0.384678075179107,0.540914281828814,"1",FALSE
"18","1_161_4",0,0.0456686903526097,0.0610294729208358,0.757211906452126,0.802615991913472,0.453571877482166,0.733093180718995,0.783267585543798,"3",FALSE
"19","1_162_1",0,0.0707871605971285,0.0578235986949719,0.380088209915817,0.363657271681331,0.405510118347177,0.535942473591588,0.535869335616613,"1",FALSE
"20","1_162_7",0,0.0690347254943673,0.0574868138460357,0.642725968964198,0.709538480793011,0.571200736956375,0.588617152980551,0.658195925959613,"3",FALSE
"21","1_164_7",0,0.0374582840546646,0.0660450452847761,0.885920550897976,1,0.236123852072173,0.955729718038606,1,"3",FALSE
"22","1_165_7",0,0.0769535660222956,0.0574547941721932,0.651137269141127,0.678899532594815,0.583199778311602,0.574215171112335,0.510602919117662,"3",FALSE
"23","1_165_9",0,0.0895197518123077,0.0562976301835688,0.558256693562926,0.709927485649676,0.717342069594558,0.537897851765113,0.783980711729378,"3",FALSE
"24","1_166_6",0,0.0838727258399199,0.0572796257355159,0.411846441806983,0.441888494566706,0.565987061979045,0.547713885584922,0.687521594963579,"1",FALSE
"25","1_167_10",0,0.188103130509564,0.0530882067586746,0.283686391965316,0.442960179897741,0.662612376522626,0.102275552074015,0.398810782365992,"2",FALSE
"26","1_168_9",0,0.129164124478159,0.0548442609990926,0.530708949316431,0.572194958705726,0.782469189598872,0.338366756398976,0.574145743977148,"1",FALSE
"27","1_169_7",0,0.0633836694770443,0.0588881335375538,0.995204513610653,0.76445125173567,0.505763257233486,0.785411827182376,0.768293550920592,"3",FALSE
"28","1_170_1",0,0.176700188132396,0.0536647817291044,0.268709047657487,0.453302997216643,0.544077717255921,0.12901383517698,0.369683475127132,"2",FALSE
"29","1_172_6",0,0.0847371422379201,0.0572350611546824,0.41012302248873,0.436220707046692,0.567814144870398,0.545448640093344,0.687627346435947,"1",FALSE
"30","1_172_8",0,0.0761253786116677,0.0573412879615668,0.495599948964455,0.520938224325423,0.547167118686697,0.549827571385526,0.50019814938377,"1",FALSE
"31","1_173_1",0,0.0397201577071543,0.062188348887803,0.474380919980047,0.776020176401954,0.361775606819735,0.708011781664451,0.640172368026965,"3",FALSE
"32","1_173_3",0,0.0546280554254461,0.0590422162149613,0.648951877939837,0.64135057002855,0.555065747824932,0.709691801013094,0.663475594253894,"3",FALSE
"33","1_174_7",0,0.0686700625221131,0.0575726639239687,0.641426791201039,0.71425019167135,0.574161391026873,0.593867935727819,0.69128174499128,"3",FALSE
